车牌,车架,车型,定位时间,经度,纬度,位置描述
鄂W766Q1,LFV3A28W3R3622790,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:15,113.301390,23.396800,广东省广州市花都区花东镇广州白云国际机场-5号贵宾停车场西北约94米
沪GMS873,LFV3A28W3R3623003,奥迪A4L（沪牌）/双离合/三厢/2.0T,2024/11/15 10:31,121.436180,31.381970,上海市宝山区杨行镇杨行镇镇新路98号西北约59米
沪GVB013,LFV3A28W3R3624281,奥迪A4L（沪牌）/双离合/三厢/2.0T,2024/11/15 10:34,121.413930,31.177530,上海市徐汇区田林街道宜山路692-1
粤A92N2C,LFV3A28W4R3623317,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 10:30,114.169590,22.832820,广东省东莞市清溪镇科技路109
粤B150YS,LFV3A28W4R3624354,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 9:33,114.112480,22.533310,广东省深圳市罗湖区南湖街道建设路1001深圳火车站东广场
粤A1N5Z3,LFV3A28W4R3624595,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 11:09,113.338780,22.138330,广东省珠海市金湾区红旗镇003商业广场首层商铺
鄂W565Q9,LFV3A28W5R3622791,奥迪A4L/双离合/三厢/2.0T,2024/11/15 10:34,99.703150,27.849420,云南省迪庆藏族自治州香格里拉市建塘镇松赞林景区停车场东北约56米
粤A1X20F,LFV3A28W5R3623391,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 11:03,113.315330,23.039830,广东省广州市番禺区洛浦街道环球驾校报名处
京HJJ501,LFV3A28W6R3622816,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,113.566970,40.082700,山西省大同市云州区西坪镇黄花产业园西北约310米
粤B5W075,LFV3A28W6R3624484,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 10:44,110.532630,22.225610,广西壮族自治区玉林市北流市6靖镇竹高村
粤B92RY5,LFV3A28W7R3621948,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 10:42,113.460040,22.132470,广东省珠海市香洲区横琴镇厚朴道398号
粤B7335Q,LFV3A28W7R3622503,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 10:22,115.296400,22.796160,广东省汕尾市城区马宫街道金町湾旅游-停车场A
沪GJQ613,LFV3A28W7R3624204,奥迪A4L（沪牌）/双离合/三厢/2.0T,2024/11/15 10:24,121.346410,31.404260,上海市宝山区罗店镇罗芬路1088号B1层
沪EQP163,LFV3A28W8M3643367,奥迪A4L（沪牌）/自动/三厢/2.0T,2024/11/15 10:15,121.156310,31.662720,江苏省苏州市太仓市浮桥镇中国边检1中队东南约127米
津C3D006,LFV3A28W8R3621876,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:25,117.349850,40.005570,天津市蓟州区洇溜镇敦庄子村东北约257米
津C78Y17,LFV3A28W8R3623370,奥迪A4L/双离合/三厢/2.0T,2024/11/15 9:44,117.383390,38.982310,天津市津南区咸水沽镇新兴东里6号楼底商
苏AV75H9,LFV3A28W8R3624356,奥迪A4L/双离合/三厢/2.0T,2024/11/15 9:47,118.751070,31.911090,江苏省南京市雨花台区秣陵街道牛首山文化旅游区东入口停车场
苏A591JK,LFV3A28W9R3623023,奥迪A4L/双离合/三厢/2.0T,2024/11/15 9:45,104.560490,30.394510,四川省成都市简阳市东溪街道简阳华美达酒店
鄂W933R9,LFV3A28W9R3623314,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:28,100.226670,25.599370,云南省大理白族自治州大理市下关镇马路边边串串
浙A06C51,LFV3A28WXR3622611,奥迪A4L（浙A牌）/双离合/三厢/2.0T,2024/11/15 9:34,119.010300,29.596950,浙江省杭州市淳安县千岛湖镇梦姑路348
苏AY32L9,LFV3A28WXR3624309,奥迪A4L/双离合/三厢/2.0T,2024/11/15 10:21,121.537330,38.959040,辽宁省大连市甘井子区机场街道蜗享出行大连机场店大连周水子国际机场停车场
鄂W526J3,LFV3B2FY0R3319788,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:40,98.891450,39.978990,甘肃省酒泉市金塔县金塔镇中国大地财产保险股份有限公司金塔营销部
粤B192VX,LFV3B2FY0R3324666,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 11:29,113.747700,22.562910,矾石水道东南约5193米
鄂W072K3,LFV3B2FY1R3318620,奥迪Q5L（雪地胎）/自动/SUV/2.0T,2024/11/15 11:28,87.482170,43.899320,新疆维吾尔自治区乌鲁木齐市新市区迎宾路街道空勤服务中心东北约60米
鄂W803R1,LFV3B2FY1R3320576,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:39,100.231470,25.744440,云南省大理白族自治州大理市海东镇文笔完全小学西北约85米
鄂W383Q2,LFV3B2FY1R3324028,奥迪Q5L（雪地胎）/自动/SUV/2.0T,2024/11/15 11:29,86.861370,47.699220,新疆维吾尔自治区阿勒泰地区布尔津县喀纳斯路5
苏AX68M0,LFV3B2FY1R3327298,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,110.164190,19.938550,海南省海口市秀英区石山镇YT03西北约192米
苏AX78X1,LFV3B2FY1R3329651,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:43,110.315670,25.252010,广西壮族自治区桂林市七星区漓东街道中国联通5里店营业厅
苏AZ005Y,LFV3B2FY1R3329715,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:05,117.791250,26.402590,福建省三明市沙县区凤岗街道建国市场收费停车场
苏AU86Q2,LFV3B2FY1R3329732,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:08,117.237590,29.344720,江西省景德镇市珠山区竟成街道
苏AZ27B3,LFV3B2FY1R3330668,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:33,106.791970,22.822670,广西壮族自治区崇左市大新县硕龙镇中国·德天跨国瀑布景区游客集散中心东北约90米
苏AZ66G3,LFV3B2FY1R3331285,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:55,118.481000,28.296320,浙江省衢州市江山市廿8都接待中心酒店
苏A873JA,LFV3B2FY1R3331416,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:25,100.251930,27.108270,云南省丽江市玉龙纳西族自治县白沙镇玉龙旅游巡回法庭西北约306米
鄂W078R8,LFV3B2FY2R3317931,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:56,122.294610,39.721370,辽宁省大连市普兰店区乐甲街道大宋屯东北约238米
京LPC603,LFV3B2FY2R3318500,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 10:05,116.466890,39.932140,北京市朝阳区六里屯街道朝阳公园南路12西门
鄂W923J7,LFV3B2FY3R3324533,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:09,112.468340,34.569680,河南省洛阳市洛龙区龙门石窟街道龙门石窟景区西北服务区停车场
苏AV8Z31,LFV3B2FY3R3328971,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:04,109.833640,19.039550,海南省琼中黎族苗族自治县营根镇荣兴来饭店西北约68米
粤A03M1Z,LFV3B2FY3R3330123,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:30,113.554720,22.545540,广东省中山市南朗镇荘前山东南约212米
粤A80N9G,LFV3B2FY3R3330302,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:15,113.076150,22.922150,广东省佛山市顺德区乐从镇水藤大道28号
粤A63N0N,LFV3B2FY3R3330395,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:29,113.108340,23.033010,广东省佛山市禅城区祖庙街道海爪酱烤鸡爪
粤A01M0D,LFV3B2FY3R3331370,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:22,112.295940,24.585870,广东省清远市连南瑶族自治县3排镇南岗瑶寨东北约85米
粤A1Z5Q6,LFV3B2FY3R3333412,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 9:49,113.630630,23.152840,广东省广州市增城区新塘镇荔枝公园
粤B09GN7,LFV3B2FY3R3333491,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 10:49,113.167780,22.794660,广东省佛山市顺德区杏坛镇杏坛镇新涌炳记饲料门市部
粤B9T06H,LFV3B2FY3R3334379,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 9:56,113.809780,22.605060,广东省深圳市宝安区航城街道新港务码头大道1001号
鄂W769P0,LFV3B2FY4R3319647,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:28,106.276830,38.459780,宁夏回族自治区银川市兴庆区新华街街道利群东街159
京JQC732,LFV3B2FY4R3327859,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 11:16,116.352240,39.930510,北京市西城区新街口街道平安里西大街26号楼
苏AT96N2,LFV3B2FY4R3329353,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:55,119.749880,40.025520,河北省秦皇岛市山海关区孟姜镇山海关服务区-公厕
苏A0P72B,LFV3B2FY4R3329854,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:39,111.230850,39.863370,内蒙古自治区鄂尔多斯市准格尔旗兴隆街道万福隆名烟名酒
苏AW81W3,LFV3B2FY4R3330048,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:43,108.952910,34.266890,陕西省西安市新城区西一路街道东新街319号
苏AZ50U6,LFV3B2FY4R3331359,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:41,113.291290,40.091770,山西省大同市平城区南街街道局酒吧
苏AW75H1,LFV3B2FY4R3333340,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:25,118.609680,24.759700,福建省泉州市晋江市新塘街道良种场良狮路33
苏AU18U2,LFV3B2FY4R3333774,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:26,107.663460,34.220890,陕西省宝鸡市岐山县蔡家坡镇中国移动通信安乐营业厅东南约123米
鄂W992P0,LFV3B2FY5R3318328,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:43,106.081860,36.393040,宁夏回族自治区中卫市海原县三河镇凤凰园
京CAA943,LFV3B2FY5R3319155,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 10:01,116.346530,39.941350,北京市西城区展览路街道西直门外大街1号院1
鄂W98A40,LFV3B2FY5R3319351,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:51,102.986730,31.416820,四川省阿坝藏族羌族自治州理县朴头镇公厕西北约86米
鄂W793Q5,LFV3B2FY5R3319477,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,103.265650,25.035510,云南省昆明市宜良县耿家营彝族苗族乡占马地西南约582米
鄂W761P9,LFV3B2FY5R3320113,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:29,99.589020,27.958600,云南省迪庆藏族自治州香格里拉市尼西乡哈拉东南约707米
鄂W295J0,LFV3B2FY5R3320211,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,75.946000,39.610460,新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿图什市上阿图什镇塔库特村克力斯-来力汗东北约202米
沪GLK198,LFV3B2FY5R3327191,奥迪Q5L（沪牌）/自动/SUV/2.0T,2024/11/15 9:53,121.603920,31.309350,上海市浦东新区高东镇德堡路38号1号楼南部1层101/102
浙A99F05,LFV3B2FY5R3329183,奥迪Q5L（浙A牌）/自动/SUV/2.0T,2024/11/15 10:34,120.025650,30.379170,浙江省杭州市余杭区赞成·良着
苏AU90R1,LFV3B2FY5R3330916,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:23,112.527650,26.497580,湖南省衡阳市常宁市蓬塘乡常宁服务区B区
苏AT1533,LFV3B2FY5R3330947,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:24,112.755970,32.077640,湖北省襄阳市枣阳市南城街道光武农机
苏AZ621X,LFV3B2FY5R3331466,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:24,98.913910,28.444770,云南省迪庆藏族自治州德钦县升平镇雾浓顶西南约340米
鄂W069T1,LFV3B2FY6R3318841,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:52,102.765720,30.980760,四川省阿坝藏族羌族自治州小金县4姑娘山镇潘家青年超市东北约92米
鄂W857P8,LFV3B2FY6R3319598,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:02,107.694380,25.292000,贵州省黔南布依族苗族自治州荔波县小7孔镇停车场东南约158米
京N5RU30,LFV3B2FY6R3324591,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 11:04,115.301330,40.976680,河北省张家口市崇礼区西湾子镇富龙4季小镇景区西南约152米
鄂W597P6,LFV3B2FY6R3324722,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:18,104.301850,36.889150,甘肃省白银市景泰县中泉镇黄河石林纪念品销售博览中心西南约117米
鄂W795T7,LFV3B2FY7R3305483,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:24,108.934830,34.373750,陕西省西安市未央区草滩街道元朔路与文景路交叉口路北西南约105米
浙AU77K7,LFV3B2FY7R3331176,奥迪Q5L（浙A牌）/自动/SUV/2.0T,2024/11/15 10:25,120.208510,30.289480,浙江省杭州市上城区火车东站西区(1)自行车租赁点东北约95米
鄂W665P2,LFV3B2FY8R3320476,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:27,106.544770,29.615520,重庆市渝北区天宫殿街道庐山大道东端南侧重庆北站北广场
鄂W392R8,LFV3B2FY8R3320512,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,108.120190,26.570940,贵州省黔东南苗族侗族自治州凯里市3棵树镇阿龙农家乐西北约393米
鄂W595R0,LFV3B2FY8R3320543,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:33,98.436000,25.378780,云南省保山市腾冲市滇滩镇云峰山风景区停车场西北约64米
鄂W38Z75,LFV3B2FY8R3320638,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:29,100.482120,30.086870,四川省甘孜藏族自治州雅江县柯拉乡G318东北约930米
京EGR413,LFV3B2FY8R3320705,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 11:26,116.703790,39.718700,北京市通州区于家务回族乡满意饭店
京LJQ539,LFV3B2FY9R3320356,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 10:57,116.460040,40.023220,北京市朝阳区来广营乡广达路2号院6号楼
鄂W003S9,LFV3B2FY9R3330112,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:43,111.813240,40.856530,内蒙古自治区呼和浩特市赛罕区巴彦街道呼和浩特白塔机场
粤B231C1,LFV3B2FYXR3319054,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 11:29,113.565930,22.606290,广东省中山市民众镇田基沙沥东北约755米
鄂W717S7,LFV3B2FYXR3329177,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:20,103.591530,30.896850,四川省成都市都江堰市青城山镇青城山6善酒店停车场
粤A56K0S,LSV2D7G61RN010419,奥迪Q6（粤A牌）/自动/SUV/2.0T,2024/11/15 11:01,113.139890,23.373590,广东省广州市花都区秀全街道广州风神高尔夫球会停车场电动汽车充电站
鄂A57A8V,LSV2D7G61RN010470,奥迪Q6/自动/SUV/2.0T,2024/11/15 11:21,104.081520,30.667190,四川省成都市青羊区草市街街道
鄂AW7663,LSV2D7G62RN010445,奥迪Q6/自动/SUV/2.0T,2024/11/15 10:51,110.354470,18.672890,海南省万宁市东澳镇神州半岛喜来登酒店电动汽车充电站
鄂A3Z3L8,LSV2D7G62RN010462,奥迪Q6/自动/SUV/2.0T,2024/11/15 11:27,75.899130,39.411970,新疆维吾尔自治区喀什地区疏附县吾库萨克镇乌鲁木齐-红其拉甫
鄂AW9981,LSV2D7G63RN010485,奥迪Q6/自动/SUV/2.0T,2024/11/15 11:24,114.421120,31.105810,湖北省武汉市黄陂区花谷湖畔度假酒店
浙A121W9,LSV2D7G65RN010472,奥迪Q6（浙A牌）/自动/SUV/2.0T,2024/11/15 10:44,118.904680,42.279130,内蒙古自治区赤峰市松山区铁东街道金和城西北约117米
粤BA7Y80,LSV2D7G68RN010403,奥迪Q6（深牌）/自动/SUV/2.0T,2024/11/15 10:54,119.015310,25.433630,福建省莆田市荔城区镇海街道北大北街6三信金鼎广场
鄂A1Q701,LSV2D7G68RN010417,奥迪Q6/自动/SUV/2.0T,2024/11/15 11:14,115.857640,28.783950,江西省南昌市青山湖区冠山管理处南昌理工学院金鸟巢体育馆东南约64米
鄂AW7M61,LSV2D7G69RN010426,奥迪Q6/自动/SUV/2.0T,2024/11/15 11:30,100.194100,25.906950,云南省大理白族自治州大理市双廊镇海兰元客栈东北约58米
沪EQT306,LSV2D7G6XPN013512,奥迪Q6（沪牌）/自动/SUV/2.0T,2024/11/15 10:49,121.226620,31.032750,上海市松江区方松街道地铁松江新城站1楼
鄂W903N2,LSVCD6F20P2028731,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:11,119.017150,33.605570,江苏省淮安市清江浦区淮海街道淮海北路65-3号
浙A9N2U1,LSVCD6F20P2028776,奥迪A7L（浙A牌）/自动/三厢/2.0T,2024/11/15 11:29,118.384390,31.180760,安徽省芜湖市弋江区白马街道芜南公路
湘A6M9G2,LSVCD6F21P2028351,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:29,114.058510,29.133270,江西省九江市修水县全丰镇湾头东南约283米
京MPR195,LSVCD6F21P2028446,奥迪A7L（京牌）/自动/三厢/2.0T,2024/11/15 11:29,116.555320,40.253640,北京市顺义区北石槽镇东辛庄桥东北约353米
粤A00EQ6,LSVCD6F21P2028494,奥迪A7L（粤A牌）/自动/三厢/2.0T,2024/11/15 10:49,113.247240,23.064460,广东省广州市荔湾区东沙街道东沙小学
粤CL637E,LSVCD6F21P2028835,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:48,120.299490,31.579820,江苏省无锡市梁溪区BIUBIU24小时自助舞室
粤CN570D,LSVCD6F21P2028916,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:15,114.024230,22.529300,广东省深圳市福田区沙头街道优剪西南约56米
粤B3N90C,LSVCD6F22P2023630,奥迪A7L（深牌）/自动/三厢/2.0T,2024/11/15 11:05,114.101830,22.545360,广东省深圳市罗湖区桂园街道京基金融中心广场
鄂A3J8S2,LSVCD6F22P2028231,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:24,114.412460,23.121640,广东省惠州市惠城区江北街道三新南路8-12
京MPX391,LSVCD6F22P2028455,奥迪A7L（京牌）/自动/三厢/2.0T,2024/11/15 11:29,116.450090,39.965230,北京市朝阳区太阳宫乡太阳宫金星园4
鄂A1H96Y,LSVCD6F22P2028522,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:00,116.879050,33.667820,安徽省宿州市埇桥区西2铺乡美惠多超市东北约156米
鄂A3Y6H5,LSVCD6F22P2028603,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:25,120.314950,30.446420,浙江省杭州市临平区东湖街道胡桥社区北沙东路58-60号利蒙达4号仓库
鄂A2T97K,LSVCD6F22P2028892,奥迪A7L/自动/三厢/2.0T,2024/11/15 9:51,109.742690,18.367370,海南省三亚市海棠区海棠北路100
鄂A6U9Z1,LSVCD6F22P2029007,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:14,99.703560,27.849360,云南省迪庆藏族自治州香格里拉市建塘镇松赞林景区停车场东北约76米
陕U161ZS,LSVCD6F23P2028142,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:29,122.547030,37.398390,山东省威海市荣成市成山镇旺行养殖有限公司东北约572米
鄂A9P7J8,LSVCD6F23P2028223,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:27,118.791410,31.981660,江苏省南京市雨花台区雨花街道丁墙路两侧
鄂A9Z3E5,LSVCD6F24P2022740,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:16,99.773820,28.159520,云南省迪庆藏族自治州香格里拉市香稻3号桥东北约353米
粤C279E5,LSVCD6F24P2028389,奥迪A7L/自动/三厢/2.0T,2024/11/15 9:45,113.776800,23.045670,广东省东莞市东城街道百源桶装水配送中心
浙A971Y3,LSVCD6F24P2028635,奥迪A7L（浙A牌）/自动/三厢/2.0T,2024/11/15 11:30,120.143340,30.309310,浙江省杭州市拱墅区大关站D1西北约53米
粤CE811C,LSVCD6F24P2029011,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:08,114.443270,22.800140,广东省惠州市惠阳区淡水街道半岛路1号格兰云天国际酒店
鄂AW8132,LSVCD6F25P2028224,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:11,100.203580,25.699610,云南省大理白族自治州大理市大理镇环海西路270号
浙A371XG,LSVCD6F25P2028532,奥迪A7L（浙A牌）/自动/三厢/2.0T,2024/11/15 11:29,116.198660,32.540920,安徽省阜阳市颍上县半岗镇强郢村西南约463米
鄂A0F79J,LSVCD6F26P2020651,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:16,113.461470,22.704180,广东省中山市三角镇兴源三街3
鄂A9Y397,LSVCD6F26P2021055,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:59,106.925320,27.710860,贵州省遵义市汇川区上海路街道办事处浩鑫·凤岭花园1-2地下停车库
鄂A3V752,LSVCD6F26P2028412,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:29,119.200040,34.459120,江苏省连云港市海州区新坝镇墙匡村卫生室
鄂AP539N,LSVCD6F26P2028443,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:44,110.044540,25.452710,广西壮族自治区桂林市临桂区中庸镇王家山村东北约230米
鄂A14B72,LSVCD6F26P2028491,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:09,106.488370,26.554620,贵州省贵阳市清镇市巢凤社区服务中心清镇佐泰5菱宝骏4S店
沪EMR999,LSVCD6F26P2028507,奥迪A7L（沪牌）/自动/三厢/2.0T,2024/11/15 9:41,120.614740,30.974220,江苏省苏州市吴江区平望镇扬扇路
粤BH92Y7,LSVCD6F26P2028684,奥迪A7L（深牌）/自动/三厢/2.0T,2024/11/15 9:38,114.060660,22.607050,广东省深圳市龙岗区坂田街道星河雅宝高科创新园宿舍区2栋
粤BH92Y7,LSVCD6F26P2028684,奥迪A7L（深牌）/自动/三厢/2.0T,,0.000000,0.000000,全球
鄂AK0D61,LSVCD6F26P2028846,奥迪A7L/自动/三厢/2.0T,2024/11/15 9:53,106.491480,26.393300,贵州省安顺市平坝区马场镇羊艾幼儿园东北约257米
鄂A7T66B,LSVCD6F26P2028877,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:30,111.686650,29.045430,湖南省常德市武陵区穿紫河街道自行车租赁点
粤A1Q02F,LSVCD6F27P2020383,奥迪A7L（粤A牌）/自动/三厢/2.0T,2024/11/15 10:37,113.358460,23.099480,广东省广州市海珠区琶洲街道新港东路980
鄂A1K075,LSVCD6F27P2028399,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:30,112.719950,26.372380,湖南省衡阳市耒阳市南京镇喜山岭西北约465米
鄂AW9203,LSVCD6F27P2029004,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:26,104.221820,31.000740,四川省德阳市广汉市3星堆镇人间美食农家乐东北约121米
鄂A1H84A,LSVCD6F28P2022708,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:24,99.276130,28.237880,云南省迪庆藏族自治州德钦县奔子栏镇松赞奔子栏酒店-中餐厅
鄂A9L94H,LSVCD6F28P2023602,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:59,119.022860,33.570580,江苏省淮安市清江浦区清浦街道港口路7号西南约75米
鄂AZ8G35,LSVCD6F28P2028265,奥迪A7L/自动/三厢/2.0T,2024/11/14 21:38,120.376790,36.088970,山东省青岛市市北区敦化路街道停车场
豫A59N2Z,LSVCD6F28P2028301,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:29,117.133880,34.144730,江苏省徐州市铜山区新区街道台上村小桥东南约361米
沪FYK623,LSVCD6F28P2028458,奥迪A7L（沪牌）/自动/三厢/2.0T,2024/11/15 11:26,115.644900,37.729800,河北省衡水市桃城区衡水高新技术产业开发区永兴西路婴姿美母婴馆对面西北约50米
鄂A8832E,LSVCD6F28P2028489,奥迪A7L/自动/三厢/2.0T,2024/11/15 10:56,121.482250,31.239450,上海市黄浦区外滩街道江西中路
鄂A5Z9D8,LSVCD6F28P2028699,奥迪A7L/自动/三厢/2.0T,2024/11/14 21:33,120.901740,31.998560,江苏省南通市崇川区园林路观阳路口东北约108米
粤A77L0K,LSVCD6F29P2028341,奥迪A7L（粤A牌）/自动/三厢/2.0T,2024/11/15 10:01,100.797730,22.000980,云南省西双版纳傣族自治州景洪市允景洪街道金凤宾馆停车场
鄂A8C45Y,LSVCD6F29P2028582,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:15,108.898370,24.783140,广西壮族自治区河池市罗城仫佬族自治县东门镇停车场
浙A263W7,LSVCD6F2XP2020314,奥迪A7L（浙A牌）/自动/三厢/2.0T,2024/11/15 11:25,120.046800,29.287760,浙江省金华市义乌市稠江街道童店路28号
粤A1QJ10,LSVCD6F2XP2028476,奥迪A7L（粤A牌）/自动/三厢/2.0T,2024/11/15 11:28,113.233910,23.172270,广东省广州市白云区同德街道万德楼附近
鄂AP152J,LSVCD6F2XP2028512,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:21,106.687400,26.730830,贵州省贵阳市白云区沙文镇贵阳白云玉兰家常小菜馆东南约99米
鄂AP152J,LSVCD6F2XP2028512,奥迪A7L/自动/三厢/2.0T,,0.000000,0.000000,全球
粤CK057H,LSVCD6F2XP2028882,奥迪A7L/自动/三厢/2.0T,2024/11/15 11:03,108.934870,30.282420,湖北省恩施土家族苗族自治州利川市都亭街道腾龙·金港综合批市场停车场(东入口)
